#Module 	 BXID 	 Chip 	 slope 	 slope_err 	 slope_deadtime 	 slope_deadtime_err 	 Ped 	 Ped_err 	 last_edge 	 last_edge_err
13	1	1	1.58103	0.0121823	1.54941	0.0120996	826	7	3356	9
13	1	2	1.64339	0.0128359	1.61052	0.0127441	859	7	3293	9
13	1	3	1.74368	0.015918	1.70881	0.0157497	823	8	3117	13
13	1	4	1.55039	0.012374	1.51938	0.0122789	893	8	3473	10
13	1	5	1.71306	0.0137052	1.6788	0.013599	801	10	3136	6
13	1	6	1.71013	0.0147449	1.67593	0.0146057	824	7	3163	12
13	1	7	1.65906	0.012764	1.62588	0.0126778	869	6	3280	9
13	1	8	1.74064	0.0141967	1.70583	0.0140802	846	8	3144	9
13	1	9	1.69996	0.0150556	1.66596	0.0149052	862	7	3215	13
13	1	10	1.55763	0.0121705	1.52648	0.0120834	871	8	3439	9
13	1	11	1.69062	0.0115144	1.6568	0.0114784	812	4	3178	5
13	1	12	1.49365	0.0121321	1.46378	0.0120337	892	7	3570	12
13	1	13	1.58541	0.0108595	1.55371	0.0108234	839	5	3362	5
13	1	14	1.6247	0.0117452	1.5922	0.0116863	876	4	3338	8
13	1	15	1.47929	0.011405	1.4497	0.0113273	908	7	3612	10
14	0	0	1.44718	0.0107357	1.41823	0.0106738	993	1	3757	11
14	0	1	1.58353	0.0125103	1.55186	0.0124173	838	7	3364	10
14	0	2	1.36286	0.0102314	1.3356	0.010169	939	7	3874	10
14	0	3	1.61812	0.0137882	1.58576	0.0136615	855	6	3327	13
14	0	4	1.4404	0.0111034	1.4116	0.0110278	940	6	3717	11
14	0	5	1.54679	0.0137211	1.51585	0.0135836	913	12	3499	11
14	0	6	1.74444	0.0150314	1.70955	0.0148897	776	8	3069	11
14	0	7	1.64204	0.0124439	1.6092	0.0123648	858	3	3294	10
14	0	8	1.45349	0.00993497	1.42442	0.00990267	928	3	3680	7
14	0	9	1.69062	0.014285	1.6568	0.0141564	831	9	3197	10
14	0	10	1.50038	0.0105232	1.47037	0.0104802	969	6	3635	6
14	0	11	1.48313	0.0109589	1.45347	0.010897	922	8	3619	7
14	0	12	1.3836	0.0101691	1.35593	0.0101132	914	5	3805	10
14	0	13	1.52555	0.0129259	1.49504	0.0128087	944	9	3566	12
14	0	14	1.47874	0.0109583	1.44917	0.0108955	866	4	3571	10
14	0	15	1.50773	0.0126561	1.47757	0.0125439	879	11	3532	10
14	1	0	1.48313	0.010792	1.45347	0.0107359	984	1	3681	10
14	1	1	1.62075	0.0125966	1.58833	0.0125081	834	7	3302	9
14	1	2	1.39811	0.0111408	1.37015	0.0110556	924	10	3785	10
14	1	3	1.48533	0.01173	1.45563	0.0116428	866	5	3559	12
14	1	4	1.545	0.0134214	1.5141	0.0132926	930	10	3519	12
14	1	5	1.53492	0.0119884	1.50422	0.0119027	916	10	3522	7
14	1	6	1.87091	0.0179882	1.83349	0.0177813	776	12	2914	10
14	1	7	1.75208	0.0131275	1.71704	0.0130482	845	5	3128	8
14	1	8	1.46789	0.011119	1.43853	0.0110485	929	6	3654	10
14	1	9	1.65837	0.0127569	1.62521	0.0126708	843	6	3255	9
14	1	10	1.43369	0.0101359	1.40502	0.010092	973	6	3763	7
14	1	11	1.6488	0.0123444	1.61583	0.0122701	916	8	3342	6
14	1	12	1.43781	0.0121463	1.40906	0.0120369	911	9	3693	13
14	1	13	1.57542	0.0118515	1.54391	0.0117786	933	8	3472	7
14	1	14	1.53257	0.011478	1.50192	0.0114088	862	4	3472	10
14	1	15	1.4404	0.0118534	1.4116	0.0117537	885	10	3662	11
