#Module  	 Chip 	 Chn 	 Mem 	 Ped 	 Ped_err
5	2	18	1	852	10
5	2	19	1	839	5
5	2	20	1	853	13
5	2	21	1	840	3
5	2	22	1	855	8
5	2	23	1	842	3
5	2	24	1	846	7
5	2	25	1	846	19
5	2	26	1	837	2
5	2	27	1	847	2
5	2	28	1	852	8
5	2	30	1	839	1
5	2	31	1	845	8
5	2	32	1	852	1
5	2	33	1	839	7
5	2	34	1	844	2
5	2	35	1	833	9
5	3	1	1	895	1
5	3	2	1	893	4
5	3	3	1	894	8
5	3	4	1	898	3
5	3	5	1	891	8
5	3	7	1	901	7
5	3	8	1	891	7
5	3	9	1	903	1
5	3	10	1	899	6
5	3	11	1	897	6
5	3	12	1	896	2
5	3	13	1	899	1
5	3	14	1	905	1
5	3	16	1	900	7
5	3	17	1	903	1
5	3	18	1	888	4
5	3	19	1	907	2
5	3	20	1	916	1
5	3	21	1	901	4
5	3	22	1	902	13
5	3	23	1	894	6
5	3	24	1	892	2
5	3	25	1	893	1
5	3	26	1	904	8
5	3	27	1	896	6
5	3	28	1	892	8
5	3	29	1	894	3
5	3	30	1	904	5
5	3	31	1	886	1
5	3	32	1	897	3
5	3	34	1	885	8
5	3	35	1	885	5
6	0	7	1	139	1
6	1	0	1	865	2
6	1	2	1	880	2
6	1	3	1	866	3
6	1	4	1	875	3
6	1	7	1	873	5
6	1	8	1	868	3
6	1	9	1	876	1
6	1	17	1	885	1
6	1	19	1	878	4
6	1	20	1	882	3
6	1	21	1	880	4
6	1	29	1	884	2
6	1	30	1	875	3
6	2	7	1	911	3
6	2	10	1	918	3
6	2	11	1	915	1
6	2	13	1	921	1
6	2	15	1	913	2
6	2	16	1	909	3
6	2	17	1	916	1
6	2	19	1	909	4
6	2	20	1	913	1
6	2	25	1	909	1
6	2	26	1	922	1
6	2	30	1	910	1
6	2	35	1	904	2
6	3	7	1	896	1
6	3	9	1	908	3
6	3	13	1	905	3
6	3	14	1	902	4
6	3	19	1	909	3
6	3	20	1	903	1
6	3	21	1	910	1
6	3	26	1	905	1
6	3	28	1	910	1
6	3	29	1	911	5
6	3	30	1	894	1
6	3	31	1	902	5
6	3	32	1	898	4
6	3	33	1	900	4
7	0	0	1	862	1
7	0	1	1	857	2
7	0	2	1	861	2
