#Module 	 Chip 	 Chn 	 Mem 	 Pedestal 	 MeanError
1	129	16	1	240.14	0.248298
1	129	16	2	243.876	0.252533
1	129	16	3	259.666	0.269829
1	129	16	4	248.351	0.260569
1	129	16	5	252.545	0.270756
1	129	16	6	265.862	0.296382
1	129	16	7	254.397	0.301466
1	129	16	8	260.716	0.336617
1	129	16	9	256.895	0.371073
1	129	16	10	255.837	0.423695
1	129	16	11	277.021	0.537813
1	129	16	12	273.965	0.639041
1	129	16	13	256.988	0.734882
1	129	16	14	270.975	0.969159
1	129	16	15	253.438	1.15565
1	129	17	1	251.918	0.256844
1	129	17	2	255.329	0.260522
1	129	17	3	262	0.268242
1	129	17	4	248.139	0.25652
1	129	17	5	269.371	0.284539
1	129	17	6	270.017	0.296563
1	129	17	7	259.61	0.303082
1	129	17	8	263.55	0.335248
1	129	17	9	270.174	0.384351
1	129	17	10	272.05	0.443688
1	129	17	11	274.745	0.525419
1	129	17	12	280.358	0.643654
1	129	17	13	282.285	0.79487
1	129	17	14	272.664	0.960866
1	129	17	15	251.741	1.13045
1	129	18	1	236.84	0.244851
1	129	18	2	245.019	0.253661
1	129	18	3	260.341	0.270441
1	129	18	4	245.736	0.257796
1	129	18	5	254.091	0.272316
1	129	18	6	258.746	0.288322
1	129	18	7	250.664	0.296953
1	129	18	8	255.627	0.329985
1	129	18	9	254.469	0.367382
1	129	18	10	255.836	0.423587
1	129	18	11	267.52	0.519408
1	129	18	12	263.41	0.614311
1	129	18	13	273.795	0.782744
1	129	18	14	253.984	0.909012
1	129	18	15	255.269	1.16421
1	129	19	1	260.306	0.271302
1	129	19	2	251.632	0.262645
1	129	19	3	260.844	0.273308
1	129	19	4	249.125	0.263544
1	129	19	5	261.733	0.282886
1	129	19	6	258.345	0.290366
1	129	19	7	259.344	0.309815
1	129	19	8	261.443	0.340337
1	129	19	9	263.039	0.382828
1	129	19	10	258.328	0.431167
1	129	19	11	269.491	0.52747
1	129	19	12	272.839	0.641251
1	129	19	13	274.346	0.790528
1	129	19	14	274.548	0.990478
1	129	19	15	253.537	1.16564
1	129	20	1	249.056	0.257196
1	129	20	2	252.799	0.261377
1	129	20	3	266.046	0.27613
1	129	20	4	245.997	0.25778
1	129	20	5	265.468	0.284266
1	129	20	6	260.592	0.290114
1	129	20	7	246.41	0.291678
1	129	20	8	258.303	0.333141
1	129	20	9	260.47	0.375708
1	129	20	10	257.646	0.426185
1	129	20	11	265.843	0.515644
1	129	20	12	271.776	0.6331
1	129	20	13	271.682	0.776343
1	129	20	14	261.343	0.934752
1	129	20	15	248.373	1.13166
1	129	21	1	250.533	0.260152
1	129	21	2	253.932	0.264041
1	129	21	3	259.852	0.271202
1	129	21	4	252.967	0.266593
1	129	21	5	259.217	0.279067
1	129	21	6	258.727	0.289738
1	129	21	7	246.397	0.293233
1	129	21	8	268.626	0.348446
1	129	21	9	259.988	0.377137
1	129	21	10	259.04	0.430811
1	129	21	11	275.311	0.53697
1	129	21	12	274.579	0.6431
1	129	21	13	276.052	0.79266
1	129	21	14	255.418	0.918337
1	129	21	15	261.073	1.19588
1	129	22	1	238.086	0.246406
1	129	22	2	244.317	0.253135
1	129	22	3	253.903	0.264061
1	129	22	4	247.76	0.2602
1	129	22	5	250.574	0.268877
1	129	22	6	253.378	0.282681
1	129	22	7	247.477	0.293542
1	129	22	8	248.497	0.321167
1	129	22	9	253.77	0.366855
1	129	22	10	251.038	0.416063
1	129	22	11	263.153	0.511609
1	129	22	12	269.455	0.629066
1	129	22	13	269.581	0.77178
1	129	22	14	252.386	0.904895
1	129	22	15	246.223	1.12398
1	129	23	1	254.782	0.264109
1	129	23	2	250.478	0.260053
1	129	23	3	256.595	0.267351
1	129	23	4	249.026	0.26202
1	129	23	5	266.419	0.286424
1	129	23	6	270.925	0.302907
1	129	23	7	244.479	0.290446
1	129	23	8	262.868	0.340233
1	129	23	9	260.036	0.376481
1	129	23	10	255.021	0.42324
1	129	23	11	271.117	0.52759
1	129	23	12	269.886	0.630435
1	129	23	13	283.064	0.810805
1	129	23	14	273.397	0.980088
1	129	23	15	248.341	1.13425
1	129	24	1	249.475	0.257749
1	129	24	2	242.131	0.250543
1	129	24	3	251.036	0.26064
1	129	24	4	238.994	0.250614
1	129	24	5	255.665	0.273901
1	129	24	6	252.191	0.280885
1	129	24	7	239.629	0.28375
1	129	24	8	256.543	0.331105
1	129	24	9	251.424	0.363011
1	129	24	10	248.396	0.411193
1	129	24	11	266.928	0.518137
1	129	24	12	265.707	0.619564
1	129	24	13	265.698	0.759489
1	129	24	14	257.547	0.921575
1	129	24	15	250.113	1.14087
1	129	25	1	244.823	0.253693
1	129	25	2	248.033	0.257424
1	129	25	3	246.838	0.257068
1	129	25	4	242.431	0.25497
1	129	25	5	252.61	0.271487
1	129	25	6	257.304	0.287496
1	129	25	7	247.16	0.293528
1	129	25	8	256.024	0.331411
1	129	25	9	254.437	0.368335
1	129	25	10	254.694	0.422746
1	129	25	11	269.838	0.525291
1	129	25	12	267.058	0.624476
1	129	25	13	276.802	0.793418
1	129	25	14	284.52	1.02078
1	129	25	15	248.492	1.13667
1	129	26	1	261.276	0.267255
1	129	26	2	253.328	0.259433
1	129	26	3	269.99	0.277544
1	129	26	4	262.797	0.272832
1	129	26	5	260.429	0.276157
1	129	26	6	261.271	0.288084
1	129	26	7	261.612	0.306749
1	129	26	8	271.008	0.346312
1	129	26	9	259.44	0.370679
1	129	26	10	272.908	0.447278
1	129	26	11	287.479	0.553133
1	129	26	12	284.927	0.657547
1	129	26	13	281.112	0.795548
1	129	26	14	273.212	0.967827
1	129	26	15	263.696	1.1904
1	129	27	1	244.05	0.249529
1	129	27	2	251.773	0.257797
1	129	27	3	254.441	0.261464
1	129	27	4	253.646	0.263168
1	129	27	5	251.402	0.266545
1	129	27	6	248.078	0.273497
1	129	27	7	248.683	0.291472
1	129	27	8	259.096	0.330901
1	129	27	9	259.185	0.370261
1	129	27	10	255.869	0.4191
1	129	27	11	289.663	0.556537
1	129	27	12	274.08	0.632242
1	129	27	13	274.243	0.776019
1	129	27	14	255.493	0.904883
1	129	27	15	247.939	1.11873
1	129	28	1	257.947	0.268001
1	129	28	2	256.843	0.26733
1	129	28	3	251.659	0.26279
1	129	28	4	250.966	0.264673
1	129	28	5	259.444	0.279523
1	129	28	6	258.428	0.289538
1	129	28	7	247.183	0.294343
1	129	28	8	261.056	0.338717
1	129	28	9	256.675	0.372382
1	129	28	10	268.211	0.44618
1	129	28	11	278.277	0.542549
1	129	28	12	274.809	0.643036
1	129	28	13	280.667	0.805772
1	129	28	14	263.422	0.946703
1	129	28	15	249.482	1.14175
1	129	29	1	266.263	0.285233
1	129	29	2	254.917	0.273122
1	129	29	3	269.895	0.290383
1	129	29	4	257.868	0.279966
1	129	29	5	263.239	0.291916
1	129	29	6	271.817	0.313826
1	129	29	7	255.103	0.31276
1	129	29	8	271.838	0.363433
1	129	29	9	270.875	0.404978
1	129	29	10	268.998	0.461009
1	129	29	11	275.723	0.554007
1	129	29	12	278.28	0.67084
1	129	29	13	286.816	0.848264
1	129	29	14	286.903	1.06313
1	129	29	15	258.233	1.21677
1	129	30	1	232.601	0.242423
1	129	30	2	241.592	0.252243
1	129	30	3	249.215	0.261031
1	129	30	4	240.345	0.254232
1	129	30	5	250.79	0.271082
1	129	30	6	257.198	0.289044
1	129	30	7	246.722	0.294802
1	129	30	8	250.341	0.325905
1	129	30	9	257.786	0.375341
1	129	30	10	247.528	0.413182
1	129	30	11	252.869	0.49491
1	129	30	12	263.735	0.619811
1	129	30	13	279.796	0.806827
1	129	30	14	254.668	0.918112
1	129	30	15	256.607	1.17978
1	129	31	1	250.795	0.259751
1	129	31	2	250.165	0.259496
1	129	31	3	260.685	0.271366
1	129	31	4	244.506	0.257
1	129	31	5	261.369	0.280735
1	129	31	6	259.202	0.289443
1	129	31	7	245.221	0.291119
1	129	31	8	270.038	0.349453
1	129	31	9	254.164	0.367791
1	129	31	10	256.259	0.42507
1	129	31	11	260.709	0.507181
1	129	31	12	271.799	0.635022
1	129	31	13	272.98	0.782358
1	129	31	14	272.651	0.977864
1	129	31	15	256.371	1.17128
1	129	32	1	260.04	0.271125
1	129	32	2	243.004	0.253784
1	129	32	3	259.126	0.271567
1	129	32	4	252.151	0.266808
1	129	32	5	263.012	0.28432
1	129	32	6	263.372	0.296047
1	129	32	7	254.196	0.303774
1	129	32	8	268.687	0.349851
1	129	32	9	257.964	0.375572
1	129	32	10	254.679	0.425118
1	129	32	11	275.133	0.538408
1	129	32	12	266.134	0.6251
1	129	32	13	273.849	0.789243
1	129	32	14	270.543	0.975324
1	129	32	15	257.73	1.18309
1	129	33	1	253.115	0.263251
1	129	33	2	251.003	0.261451
1	129	33	3	264.968	0.277009
1	129	33	4	259.09	0.273573
1	129	33	5	262.498	0.283108
1	129	33	6	259.816	0.291341
1	129	33	7	254.783	0.303703
1	129	33	8	263.285	0.341959
1	129	33	9	265.896	0.386253
1	129	33	10	264.792	0.440994
1	129	33	11	273.851	0.534687
1	129	33	12	281.024	0.659086
1	129	33	13	286.418	0.824101
1	129	33	14	263.3	0.94754
1	129	33	15	248.673	1.14053
1	129	34	1	246.034	0.253839
1	129	34	2	256.628	0.265219
1	129	34	3	261.432	0.271086
1	129	34	4	244.566	0.256065
1	129	34	5	265.09	0.283642
1	129	34	6	259.61	0.288791
1	129	34	7	246.543	0.291585
1	129	34	8	263.422	0.339479
1	129	34	9	262.682	0.378665
1	129	34	10	251.758	0.416037
1	129	34	11	273.566	0.530234
1	129	34	12	270.968	0.630527
1	129	34	13	275.886	0.787424
1	129	34	14	260.789	0.931722
1	129	34	15	251.568	1.14486
1	129	35	1	237.291	0.248173
1	129	35	2	231.299	0.242287
1	129	35	3	246.287	0.258883
1	129	35	4	242.063	0.256856
1	129	35	5	237.543	0.257619
1	129	35	6	252.277	0.28452
1	129	35	7	233.538	0.279963
1	129	35	8	249.94	0.326383
1	129	35	9	247.153	0.361055
1	129	35	10	245.193	0.410747
1	129	35	11	263.274	0.517205
1	129	35	12	268.797	0.633699
1	129	35	13	261.723	0.757733
1	129	35	14	242.894	0.879132
1	129	35	15	243.062	1.12217
1	130	0	1	206.612	0.215892
1	130	0	2	205.918	0.217179
